,year,month,day,hour,PM2.5,temperature,pressure,rain,wind_speed,E,ENE,ESE,N,NE,NNE,NNW,NW,S,SE,SSE,SSW,SW,W,WNW,WSW
67,2013,3.0,3.0,19.0,19.0,12.2,1013.4,0.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,2013,3.0,3.0,20.0,60.0,11.7,1013.5,0.0,0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,2013,3.0,3.0,21.0,117.0,5.3,1013.6,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,2013,3.0,3.0,22.0,54.0,3.1,1014.1,0.0,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,2013,3.0,3.0,23.0,46.0,5.2,1014.8,0.0,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,2013,3.0,4.0,0.0,42.0,7.7,1015.7,0.0,2.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,2013,3.0,4.0,1.0,49.0,8.2,1016.7,0.0,2.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,2013,3.0,4.0,2.0,34.0,8.1,1016.7,0.0,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,2013,3.0,4.0,3.0,12.0,7.2,1016.9,0.0,2.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,2013,3.0,4.0,4.0,7.0,6.0,1018.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,2013,3.0,4.0,5.0,10.0,2.7,1018.6,0.0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,2013,3.0,4.0,6.0,13.0,3.8,1018.9,0.0,2.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,2013,3.0,4.0,7.0,14.0,6.5,1019.7,0.0,2.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,2013,3.0,4.0,8.0,13.0,9.0,1020.7,0.0,3.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,2013,3.0,4.0,9.0,15.0,10.6,1020.8,0.0,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,2013,3.0,4.0,10.0,16.0,11.9,1020.4,0.0,2.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,2013,3.0,4.0,11.0,18.0,13.1,1020.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,2013,3.0,4.0,12.0,13.0,14.2,1018.9,0.0,2.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,2013,3.0,4.0,13.0,3.0,15.3,1017.8,0.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86,2013,3.0,4.0,14.0,3.0,15.2,1017.0,0.0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,2013,3.0,4.0,15.0,10.0,15.3,1016.3,0.0,2.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,2013,3.0,4.0,16.0,14.0,14.5,1015.7,0.0,2.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,2013,3.0,4.0,17.0,20.0,12.7,1015.9,0.0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,2013,3.0,4.0,18.0,25.0,11.6,1016.5,0.0,3.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,2013,3.0,4.0,19.0,31.0,10.9,1016.6,0.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,2013,3.0,4.0,20.0,34.0,9.9,1016.9,0.0,3.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,2013,3.0,4.0,21.0,40.0,8.4,1016.9,0.0,2.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,2013,3.0,4.0,22.0,51.0,8.6,1016.3,0.0,2.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,2013,3.0,4.0,23.0,58.0,7.7,1015.7,0.0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96,2013,3.0,5.0,0.0,71.0,4.7,1015.2,0.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,2013,3.0,5.0,1.0,91.0,1.1,1014.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,2013,3.0,5.0,2.0,100.0,-0.6,1014.4,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,2013,3.0,5.0,3.0,103.0,0.2,1014.0,0.0,1.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,2013,3.0,5.0,4.0,115.0,1.8,1013.7,0.0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,2013,3.0,5.0,5.0,117.0,0.6,1013.9,0.0,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,2013,3.0,5.0,6.0,104.0,-0.2,1013.4,0.0,1.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,2013,3.0,5.0,7.0,106.0,2.9,1013.4,0.0,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,2013,3.0,5.0,8.0,111.0,5.1,1013.4,0.0,1.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,2013,3.0,5.0,9.0,114.0,7.7,1012.8,0.0,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,2013,3.0,5.0,10.0,131.0,9.4,1012.0,0.0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,2013,3.0,5.0,11.0,138.0,10.6,1011.1,0.0,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,2013,3.0,5.0,12.0,142.0,11.9,1009.7,0.0,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,2013,3.0,5.0,13.0,163.0,12.6,1008.5,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,2013,3.0,5.0,14.0,168.0,13.5,1007.7,0.0,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,2013,3.0,5.0,15.0,165.0,13.8,1007.2,0.0,1.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,2013,3.0,5.0,16.0,166.0,13.2,1007.1,0.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113,2013,3.0,5.0,17.0,190.0,12.1,1007.7,0.0,1.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,2013,3.0,5.0,18.0,203.0,9.0,1008.2,0.0,1.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,2013,3.0,5.0,19.0,210.0,5.3,1008.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2013,3.0,5.0,20.0,205.0,3.3,1008.7,0.0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117,2013,3.0,5.0,21.0,215.0,2.9,1009.0,0.0,1.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,2013,3.0,5.0,22.0,219.0,5.2,1008.9,0.0,1.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,2013,3.0,5.0,23.0,226.0,4.9,1008.4,0.0,1.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,2013,3.0,6.0,0.0,284.0,4.9,1008.5,0.0,1.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121,2013,3.0,6.0,1.0,272.0,4.8,1008.3,0.0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,2013,3.0,6.0,2.0,242.0,4.1,1007.8,0.0,1.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,2013,3.0,6.0,3.0,212.0,4.0,1007.6,0.0,1.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124,2013,3.0,6.0,4.0,192.0,3.9,1007.3,0.0,1.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,2013,3.0,6.0,5.0,188.0,4.1,1007.8,0.0,1.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,2013,3.0,6.0,6.0,186.0,4.5,1008.4,0.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,2013,3.0,6.0,7.0,188.0,5.7,1009.3,0.0,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,2013,3.0,6.0,8.0,194.0,6.6,1009.3,0.0,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,2013,3.0,6.0,9.0,184.0,7.5,1009.1,0.0,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,2013,3.0,6.0,10.0,175.0,8.7,1008.6,0.0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,2013,3.0,6.0,11.0,179.0,10.1,1007.7,0.0,1.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
132,2013,3.0,6.0,12.0,192.0,11.1,1006.9,0.0,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2013,3.0,6.0,13.0,201.0,12.6,1005.8,0.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,2013,3.0,6.0,14.0,230.0,14.5,1005.5,0.0,1.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
135,2013,3.0,6.0,15.0,246.0,14.7,1005.5,0.0,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,2013,3.0,6.0,16.0,248.0,14.2,1005.5,0.0,1.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137,2013,3.0,6.0,17.0,230.0,11.6,1005.9,0.0,1.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
138,2013,3.0,6.0,18.0,239.0,6.8,1006.8,0.0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,2013,3.0,6.0,19.0,242.0,5.1,1007.6,0.0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,2013,3.0,6.0,20.0,254.0,4.4,1008.2,0.0,1.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
141,2013,3.0,6.0,21.0,266.0,3.8,1007.7,0.0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,2013,3.0,6.0,22.0,254.0,2.4,1007.3,0.0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,2013,3.0,6.0,23.0,260.0,2.3,1007.2,0.0,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144,2013,3.0,7.0,0.0,250.0,1.5,1007.1,0.0,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
145,2013,3.0,7.0,1.0,240.0,0.7,1007.1,0.0,1.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
146,2013,3.0,7.0,2.0,238.0,1.5,1006.9,0.0,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
147,2013,3.0,7.0,3.0,243.0,0.3,1006.5,0.0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,2013,3.0,7.0,4.0,246.0,-0.9,1006.4,0.0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
149,2013,3.0,7.0,5.0,275.0,1.6,1006.7,0.0,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150,2013,3.0,7.0,6.0,306.0,0.3,1006.6,0.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
151,2013,3.0,7.0,7.0,320.0,2.4,1006.8,0.0,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
152,2013,3.0,7.0,8.0,292.0,8.3,1006.5,0.0,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,2013,3.0,7.0,9.0,251.0,10.1,1006.1,0.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,2013,3.0,7.0,10.0,228.0,12.7,1005.5,0.0,1.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2013,3.0,7.0,11.0,217.0,16.5,1003.6,0.0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,2013,3.0,7.0,12.0,255.0,17.1,1001.6,0.0,3.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
157,2013,3.0,7.0,13.0,258.0,17.7,1000.2,0.0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
158,2013,3.0,7.0,14.0,277.0,18.3,998.6,0.0,3.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,2013,3.0,7.0,15.0,282.0,18.6,997.6,0.0,3.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
160,2013,3.0,7.0,16.0,267.0,17.9,997.2,0.0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,2013,3.0,7.0,17.0,216.0,15.4,997.1,0.0,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
162,2013,3.0,7.0,18.0,201.0,14.4,997.4,0.0,1.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
163,2013,3.0,7.0,19.0,211.0,13.4,997.9,0.0,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
164,2013,3.0,7.0,20.0,227.0,11.8,997.7,0.0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
165,2013,3.0,7.0,21.0,282.0,9.2,997.9,0.0,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
166,2013,3.0,7.0,22.0,363.0,7.5,998.3,0.0,1.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,2013,3.0,7.0,23.0,376.0,6.6,998.4,0.0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2013,3.0,8.0,0.0,344.0,4.1,998.2,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2013,3.0,8.0,1.0,339.0,3.3,998.5,0.0,0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170,2013,3.0,8.0,2.0,339.0,2.5,998.2,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
171,2013,3.0,8.0,3.0,324.0,1.8,997.9,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
172,2013,3.0,8.0,4.0,322.0,1.3,998.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
173,2013,3.0,8.0,5.0,315.0,1.4,999.0,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
174,2013,3.0,8.0,6.0,310.0,1.1,999.7,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176,2013,3.0,8.0,8.0,310.0,10.9,1000.8,0.0,0.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
177,2013,3.0,8.0,9.0,326.0,16.9,1001.1,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2013,3.0,8.0,10.0,326.0,19.1,1000.9,0.0,1.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
179,2013,3.0,8.0,11.0,219.0,20.5,1000.5,0.0,4.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
180,2013,3.0,8.0,12.0,104.0,21.7,999.4,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
181,2013,3.0,8.0,13.0,121.0,22.5,998.2,0.0,3.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
182,2013,3.0,8.0,14.0,184.0,17.4,998.3,0.0,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2013,3.0,8.0,15.0,330.0,13.9,999.5,0.0,2.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2013,3.0,8.0,16.0,172.0,11.9,1000.2,0.0,2.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2013,3.0,8.0,17.0,114.0,10.3,999.9,0.0,2.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
186,2013,3.0,8.0,18.0,82.0,9.3,1000.6,0.0,1.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
187,2013,3.0,8.0,19.0,84.0,8.0,1000.5,0.0,0.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,2013,3.0,8.0,20.0,91.0,7.9,1000.4,0.0,1.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
189,2013,3.0,8.0,21.0,81.0,7.2,1000.0,0.0,1.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2013,3.0,8.0,22.0,90.0,6.3,999.0,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2013,3.0,8.0,23.0,79.0,5.7,997.7,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
192,2013,3.0,9.0,0.0,49.0,3.6,996.1,0.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
193,2013,3.0,9.0,1.0,89.0,2.1,994.9,0.0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
194,2013,3.0,9.0,2.0,89.0,1.4,994.1,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195,2013,3.0,9.0,3.0,98.0,1.1,993.0,0.0,1.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
196,2013,3.0,9.0,4.0,97.0,1.8,992.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,2013,3.0,9.0,5.0,102.0,3.2,992.0,0.0,1.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
198,2013,3.0,9.0,6.0,110.0,2.8,992.2,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
199,2013,3.0,9.0,7.0,108.0,4.6,992.9,0.0,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
200,2013,3.0,9.0,8.0,104.0,8.4,994.1,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2013,3.0,9.0,9.0,113.0,16.3,995.9,0.0,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
207,2013,3.0,9.0,15.0,28.0,10.2,1009.4,0.0,3.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
208,2013,3.0,9.0,16.0,21.0,10.5,1010.8,0.0,4.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
209,2013,3.0,9.0,17.0,14.0,8.6,1013.0,0.0,4.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
